head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,0,0,0,20,94215
0,0,0,0,20,94232
0,0,0,0,20,94249
0,0,0,0,20,94265
0,0,0,0,20,94282
0,0,0,0,20,94299
0,0,0,0,20,94315
0,0,0,0,20,94332
0,0,0,0,20,94349
0,0,0,0,20,94365
0,-2,0,0,20,94382
0,-4,0,0,20,94399
0,-5,0,0,20,94416
0,-3,0,0,20,94432
0,-3,0,0,20,94449
0,-4,0,0,20,94466
0,-5,0,0,20,94482
0,-7,0,0,20,94499
0,-8,0,0,20,94516
0,-10,0,0,20,94533
0,-11,0,0,20,94549
0,-13,0,0,20,94566
0,-13,0,0,20,94582
0,-6,0,0,20,94599
0,-3,0,0,20,94616
0,-2,0,0,20,94633
0,-2,0,0,20,94649
0,0,0,0,20,94665
0,-2,0,0,20,94682
0,-4,0,0,20,94699
0,-2,0,0,20,94716
0,0,0,0,20,94732
0,0,0,0,20,94749
0,0,0,0,20,94765
0,0,0,0,20,94782
0,0,0,0,20,94799
0,0,0,0,20,94815
0,-2,0,0,20,94832
0,-6,0,0,20,94849
0,-8,0,0,20,94867
0,-8,0,0,20,94883
0,-8,0,0,20,94901
0,-8,0,0,20,94918
0,-8,0,0,20,94933
0,-8,0,0,20,94950
0,-12,0,0,20,94970
0,0,0,0,20,94982
0,-5,0,0,20,94999
0,0,0,0,20,95015
0,-6,0,0,20,95032
0,-5,0,0,20,95050
0,-7,0,0,20,95065
0,-4,0,0,20,95082
0,-3,0,0,20,95099
0,-2,0,0,20,95116
0,-3,0,0,20,95132
0,-4,0,0,20,95149
0,-1,0,0,20,95165
0,-2,0,0,20,95182
0,-3,0,0,20,95199
0,-5,0,0,20,95215
0,-3,0,0,20,95233
0,-2,0,0,20,95249
0,-2,0,0,20,95266
0,2,0,0,20,95282
0,3,0,0,20,95299
0,1,0,0,20,95315
0,0,0,0,20,95332
0,0,0,0,20,95349
0,0,0,0,20,95365
0,0,0,0,20,95383
0,0,0,0,20,95399
0,0,0,0,20,95416
0,0,0,0,20,95432
0,0,0,0,20,95449
0,0,0,0,20,95466
0,0,0,0,20,95482
0,0,0,0,20,95499
0,0,0,0,20,95515
0,1,0,0,20,95533
0,5,0,0,20,95549
0,8,0,0,20,95566
0,9,0,0,20,95582
0,11,0,0,20,95599
0,12,0,0,20,95615
0,12,0,0,20,95632
0,13,0,0,20,95649
0,7,0,0,20,95665
0,3,0,0,20,95683
0,3,0,0,20,95699
0,3,0,0,19.583333,95716
0,3,0,0,19.166667,95733
0,3,0,0,18.75,95749
0,3,0,0,18.333333,95766
0,3,0,0,17.916667,95782
0,6,0,0,17.5,95799
0,0,0,0,17.083333,95815
0,6,0,0,16.666667,95833
0,3,0,0,16.25,95851
0,3,0,0,15.833333,95866
0,3,0,0,15.416667,95882
0,0,0,0,15,95900
0,6,0,0,14.583333,95916
