head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,reward_x,reward_z,lick_in,ms_now
5,-1,0,0.344765,0.617871,350.037778,0,-0.03275,-0.297673,0,6129
5,0,0,0.344765,0.617871,351.287778,0,-0.03275,-0.297673,0,6144
8,-1,0,0.344824,0.618368,353.287778,0,-0.03275,-0.297673,0,6161
3,-1,0,0.344876,0.618865,354.037778,0,-0.03275,-0.297673,0,6176
2,0,0,0.344876,0.618865,354.537778,0,-0.03275,-0.297673,0,6194
2,-1,0,0.344919,0.619363,355.037778,0,-0.03275,-0.297673,0,6211
1,0,0,0.344919,0.619363,355.287778,0,-0.03275,-0.297673,0,6227
3,0,0,0.344919,0.619363,356.037778,0,-0.03275,-0.297673,0,6244
0,0,0,0.344919,0.619363,356.037778,0,-0.03275,-0.297673,0,6260
0,0,0,0.344919,0.619363,356.037778,0,-0.03275,-0.297673,0,6276
1,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6293
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6309
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6326
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6342
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6359
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6376
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6393
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6410
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6427
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6444
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6460
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6477
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6493
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6510
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6527
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6544
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6560
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6577
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6594
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6610
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6626
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6644
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6660
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6677
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6694
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6710
0,0,0,0.344919,0.619363,356.287778,0,-0.03275,-0.297673,0,6727
