head_yaw,head_thrust,head_slip,cur_wavelength,rotation_direction,ms_now
0,0,0,0,-1,7152
0,0,0,0,-1,7169
0,0,0,0,-1,7185
0,0,0,0,-1,7202
0,0,0,0,-1,7219
0,0,0,0,-1,7236
0,0,0,0,-1,7252
0,0,0,0,-1,7269
0,0,0,0,-1,7284
0,0,0,0,-1,7302
0,0,0,0,-1,7319
0,0,0,0,-1,7335
0,0,0,0,-1,7352
0,0,0,0,-1,7368
0,0,0,0,-1,7385
0,0,0,0,-1,7402
0,0,0,0,-1,7418
0,0,0,0,-1,7435
0,0,0,0,-1,7452
0,0,0,0,-1,7469
0,0,0,0,-1,7485
0,0,0,0,-1,7502
0,0,0,0,-1,7518
0,0,0,0,-1,7535
0,0,0,0,-1,7552
0,0,0,0,-1,7568
0,0,0,0,-1,7585
0,0,0,0,-1,7602
0,0,0,0,-1,7619
0,0,0,0,-1,7635
0,0,0,0,-1,7652
0,0,0,0,-1,7669
0,0,0,0,-1,7685
0,0,0,0,-1,7702
0,0,0,0,-1,7719
0,0,0,0,-1,7735
0,0,0,0,-1,7752
0,0,0,0,-1,7769
0,0,0,0,-1,7785
0,0,0,0,-1,7802
0,0,0,0,-1,7819
0,0,0,0,-1,7836
0,0,0,0,-1,7852
0,0,0,0,-1,7868
0,0,0,0,-1,7885
0,0,0,0,-1,7903
0,0,0,0,-1,7919
0,0,0,0,-1,7935
0,0,0,0,-1,7952
0,0,0,0,-1,7969
0,0,0,0,-1,7986
0,0,0,0,-1,8002
0,0,0,0,-1,8019
0,0,0,0,-1,8036
0,0,0,0,-1,8052
0,0,0,0,-1,8069
0,0,0,0,-1,8085
0,0,0,0,-1,8103
0,0,0,0,-1,8119
0,0,0,0,-1,8135
0,0,0,0,-1,8152
0,0,0,0,-1,8169
0,0,0,0,-1,8185
0,0,0,0,-1,8202
0,0,0,0,-1,8219
0,0,0,0,-1,8236
0,0,0,0,-1,8252
0,0,0,0,-1,8269
0,0,0,0,-1,8285
0,0,0,0,-1,8303
0,0,0,0,-1,8319
0,0,0,0,-1,8336
0,0,0,0,-1,8352
0,0,0,0,-1,8368
0,0,0,0,-1,8386
0,0,0,0,-1,8403
0,0,0,0,-1,8419
0,0,0,0,-1,8435
0,0,0,0,-1,8453
0,0,0,0,-1,8469
0,0,0,0,-1,8486
0,0,0,0,-1,8502
0,0,0,0,-1,8519
0,0,0,0,-1,8534
0,0,0,0,-1,8553
0,0,0,0,-1,8569
0,0,0,0,-1,8585
0,0,0,0,-1,8603
0,0,0,0,-1,8619
0,0,0,0,-1,8635
0,0,0,0,-1,8652
0,0,0,0,-1,8669
0,0,0,0,-1,8685
0,0,0,0,-1,8703
0,0,0,0,-1,8718
0,0,0,0,-1,8736
0,0,0,0,-1,8752
0,0,0,0,-1,8769
0,0,0,0,-1,8785
0,0,0,0,-1,8802
0,0,0,0,-1,8819
0,0,0,0,-1,8836
0,0,0,0,-1,8852
0,0,0,0,-1,8869
0,0,0,0,-1,8886
0,0,0,0,-1,8902
0,0,0,0,-1,8919
0,0,0,0,-1,8935
0,0,0,0,-1,8952
0,0,0,0,-1,8969
0,0,0,0,-1,8985
0,0,0,0,-1,9002
0,0,0,0,-1,9019
0,0,0,0,-1,9035
0,0,0,0,-1,9052
0,0,0,0,-1,9069
0,0,0,0,-1,9086
0,0,0,0,-1,9102
0,0,0,0,-1,9119
0,0,0,0,-1,9135
0,0,0,0,-1,9152
0,0,0,0,-1,9169
0,0,0,0,-1,9185
0,0,0,0,-1,9202
0,0,0,0,-1,9219
0,0,0,0,-1,9235
0,0,0,0,-1,9252
0,0,0,0,-1,9269
0,0,0,0,-1,9285
0,0,0,0,-1,9302
0,0,0,0,-1,9319
0,0,0,0,-1,9336
0,0,0,0,-1,9352
0,0,0,0,-1,9368
0,0,0,0,-1,9385
0,0,0,0,-1,9402
0,0,0,0,-1,9419
0,0,0,0,-1,9435
0,0,0,0,-1,9452
0,0,0,0,-1,9469
0,0,0,0,-1,9486
0,0,0,0,-1,9501
0,0,0,0,-1,9519
0,0,0,0,-1,9536
0,0,0,0,-1,9553
0,0,0,0,-1,9568
0,0,0,0,-1,9585
0,0,0,0,-1,9602
0,0,0,0,-1,9619
0,0,0,0,-1,9635
0,0,0,0,-1,9653
0,0,0,0,-1,9669
0,0,0,0,-1,9684
0,0,0,0,-1,9702
0,0,0,0,-1,9719
0,0,0,0,-1,9735
0,0,0,0,-1,9751
0,0,0,0,-1,9769
0,0,0,0,-1,9785
0,0,0,0,-1,9803
0,0,0,0,-1,9819
0,0,0,0,-1,9835
0,0,0,0,-1,9852
0,0,0,0,-1,9869
0,0,0,0,-1,9885
0,0,0,0,-1,9903
0,0,0,0,-1,9919
0,0,0,0,-1,9935
0,0,0,0,-1,9953
0,0,0,0,-1,9969
0,0,0,4,1,9988
0,0,0,4,1,10002
0,0,0,4,1,10018
0,0,0,4,1,10034
0,0,0,4,1,10052
0,0,0,4,1,10068
0,0,0,4,1,10085
0,0,0,4,1,10103
0,0,0,4,1,10118
