head_yaw,head_thrust,head_slip,reward_out,lick_in,ms_now
0,0,0,0,0,6445
0,0,0,0,0,6461
0,0,0,0,0,6478
0,1,0,0,0,6496
0,2,0,0,0,6513
0,0,0,0,0,6529
0,1,0,0,0,6549
0,1,0,0,0,6562
0,1,0,0,0,6579
0,2,0,0,0,6596
0,1,0,0,0,6612
0,1,0,0,0,6629
0,1,0,0,0,6646
0,2,0,0,0,6661
0,2,0,0,0,6679
0,3,0,0,0,6698
0,1,0,0,0,6712
0,1,0,0,0,6729
0,1,0,0,0,6746
0,1,0,0,0,6763
0,1,0,0,0,6780
0,2,0,0,0,6799
0,0,0,0,0,6813
0,0,0,0,0,6829
0,-1,0,0,0,6847
0,0,0,0,0,6862
0,0,0,0,0,6879
0,0,0,0,0,6896
0,1,0,0,0,6913
0,0,0,0,0,6930
0,0,0,0,0,6946
0,0,0,0,0,6962
0,1,0,0,0,6980
0,0,0,0,0,6997
0,0,0,0,0,7012
0,0,0,0,0,7028
0,-2,0,0,0,7047
0,-1,0,0,0,7062
0,0,0,0,0,7079
0,-1,0,0,0,7096
0,0,0,0,0,7112
0,0,0,0,0,7129
0,-2,0,0,0,7147
0,0,0,0,0,7163
0,0,0,0,0,7183
0,0,0,0,0,7197
0,1,0,0,0,7214
0,0,0,0,0,7230
0,0,0,0,0,7247
0,0,0,0,0,7262
0,2,0,0,0,7278
0,2,0,0,0,7296
0,1,0,0,0,7312
0,3,0,0,0,7329
0,3,0,0,0,7347
0,1,0,0,0,7362
0,2,0,0,0,7379
0,4,0,0,0,7396
0,2,0,0,0,7415
0,1,0,0,0,7430
0,1,0,0,0,7446
0,0,0,0,0,7462
0,0,0,0,0,7479
0,0,0,0,0,7495
0,0,0,0,0,7511
0,1,0,0,0,7529
0,0,0,0,0,7545
0,0,0,0,0,7562
0,-1,0,0,0,7579
0,0,0,0,0,7596
0,0,0,0,0,7614
0,1,0,0,0,7629
0,0,0,0,0,7645
0,0,0,0,0,7663
0,0,0,0,0,7679
0,1,0,0,0,7696
0,0,0,0,0,7713
0,0,0,0,0,7732
0,0,0,0,0,7746
0,1,0,0,0,7763
0,0,0,0,0,7779
0,1,0,0,0,7796
0,0,0,0,0,7812
0,-1,0,0,0,7833
0,0,0,0,0,7847
0,-1,0,0,0,7862
0,0,0,0,0,7879
0,0,0,0,0,7895
0,0,0,0,0,7912
0,0,0,0,0,7929
0,0,0,0,0,7944
0,0,0,0,0,7961
0,0,0,0,0,7978
0,1,0,0,0,7995
0,0,0,0,0,8012
0,1,0,0,0,8029
0,0,0,0,0,8045
0,0,0,0,0,8063
0,2,0,0,0,8079
