head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,lick_in,loom_cur_distance,ms_now
-5,40,0,0.5,0.17658,180,0,0,0.5774,5126
-3,26,0,0.5,0.18009,180,0,0,0.5774,5142
-4,31,0,0.5,0.184275,180,0,0,0.5774,5160
-2,19,0,0.5,0.18684,180,0,0,0.5774,5175
-1,16,0,0.5,0.189,180,0,0,0.5774,5193
-3,20,0,0.5,0.1917,180,0,0,0.5774,5208
-1,9,0,0.5,0.192915,180,0,0,0.5774,5225
-2,2,0,0.5,0.193185,180,0,0,0.5774,5243
0,0,0,0.5,0.193185,180,0,0,0.5774,5258
0,0,0,0.5,0.193185,180,0,0,0.5774,5275
0,-1,0,0.5,0.19305,180,0,0,0.5774,5292
2,-8,0,0.5,0.19197,180,0,0,0.5774,5308
2,-13,0,0.5,0.190215,180,0,0,0.5774,5326
5,-24,0,0.5,0.186975,180,0,0,0.5774,5343
5,-17,0,0.5,0.18468,180,0,0,0.5774,5358
7,-26,0,0.5,0.18117,180,0,0,0.5774,5376
5,-16,0,0.5,0.17901,180,0,0,0.5774,5392
3,-13,0,0.5,0.177255,180,0,0,0.5774,5409
4,-18,0,0.5,0.174825,180,0,0,0.5774,5425
2,-8,0,0.5,0.173745,180,0,0,0.5774,5442
3,-10,0,0.5,0.172395,180,0,0,0.5774,5459
3,-7,0,0.5,0.17145,180,0,0,0.5774,5475
4,-6,0,0.5,0.17064,180,0,0,0.5774,5492
1,-5,0,0.5,0.169965,180,0,0,0.5774,5509
0,-2,0,0.5,0.169695,180,0,0,0.5774,5525
0,0,0,0.5,0.169695,180,0,0,0.5774,5542
1,-4,0,0.5,0.169155,180,0,0,0.5774,5559
0,-7,0,0.5,0.16821,180,0,0,0.5774,5576
2,-12,0,0.5,0.16659,180,0,0,0.5774,5592
2,-8,0,0.5,0.16551,180,0,0,0.5774,5608
3,-4,0,0.5,0.16497,180,0,0,0.5774,5626
0,-2,0,0.5,0.1647,180,0,0,0.5774,5642
0,0,0,0.5,0.1647,180,0,0,0.5774,5658
-1,19,0,0.5,0.167265,180,0,0,0.5774,5676
-5,28,0,0.5,0.171045,180,0,0,0.5774,5692
-7,41,0,0.5,0.17658,180,0,0,0.5774,5708
-11,81,0,0.5,0.187515,180,0,0,0.5774,5725
-6,59,0,0.5,0.19548,180,0,0,0.5774,5741
-8,47,0,0.5,0.201825,180,0,0,0.5774,5758
0,0,0,0.5,0.201825,180,0,0,0.5774,5774
0,0,0,0.5,0.201825,180,0,0,0.5774,5792
0,0,0,0.5,0.201825,180,0,0,0.5774,5808
0,0,0,0.5,0.201825,180,0,0,0.5774,5825
0,0,0,0.5,0.201825,180,0,0,0.5774,5841
0,0,0,0.5,0.201825,180,0,0,0.5774,5858
0,0,0,0.5,0.201825,180,0,0,0.5774,5875
0,0,0,0.5,0.201825,180,0,0,0.5774,5892
0,0,0,0.5,0.201825,180,0,0,0.5774,5908
0,0,0,0.5,0.201825,180,0,0,0.5774,5926
0,0,0,0.5,0.201825,180,0,0,0.5774,5942
0,0,0,0.5,0.201825,180,0,0,0.5774,5958
0,0,0,0.5,0.201825,180,0,0,0.5774,5975
-14,77,0,0.5,0.21222,180,0,0,0.5774,5992
-19,92,0,0.5,0.22464,180,0,0,0.5774,6009
-33,150,0,0.5,0.24489,180,0,0,0.5774,6026
-21,95,0,0.5,0.257715,180,0,0,0.5774,6043
-28,107,0,0.5,0.27216,180,0,0,0.5774,6059
-6,24,0,0.5,0.2754,180,0,0,0.5774,6075
0,0,0,0.5,0.2754,180,0,0,0.5774,6092
0,0,0,0.5,0.2754,180,0,0,0.5774,6108
0,0,0,0.5,0.2754,180,0,0,0.5774,6125
0,0,0,0.5,0.2754,180,0,0,0.5774,6143
0,0,0,0.5,0.2754,180,0,0,0.5774,6158
0,0,0,0.5,0.2754,180,0,0,0.5774,6175
0,0,0,0.5,0.2754,180,0,0,0.5774,6192
0,0,0,0.5,0.2754,180,0,0,0.5774,6209
0,0,0,0.5,0.2754,180,0,0,0.5774,6225
0,0,0,0.5,0.2754,180,0,0,0.5774,6242
0,0,0,0.5,0.2754,180,0,0,0.5774,6258
-10,53,0,0.5,0.282555,180,0,0,0.5774,6276
-14,63,0,0.5,0.29106,180,0,0,0.5774,6292
-18,68,0,0.5,0.30024,180,0,0,0.5774,6309
-29,93,0,0.5,0.312795,180,0,0,0.5774,6325
-17,53,0,0.5,0.31995,180,0,0,0.5774,6342
-18,67,0,0.5,0.328995,180,0,0,0.5774,6359
-7,33,0,0.5,0.33345,180,0,0,0.5774,6375
-4,26,0,0.5,0.33696,180,0,0,0.5774,6392
-3,19,0,0.5,0.339525,180,0,0,0.5774,6409
0,0,0,0.5,0.339525,180,0,0,0.5774,6425
0,0,0,0.5,0.339525,180,0,0,0.5774,6441
0,0,0,0.5,0.339525,180,0,0,0.5774,6458
0,0,0,0.5,0.339525,180,0,0,0.5774,6475
0,0,0,0.5,0.339525,180,0,0,0.5774,6492
0,0,0,0.5,0.339525,180,0,0,0.5774,6508
0,0,0,0.5,0.339525,180,0,0,0.5774,6525
0,0,0,0.5,0.339525,180,0,0,0.5774,6542
0,0,0,0.5,0.339525,180,0,0,0.5774,6558
0,0,0,0.5,0.339525,180,0,0,0.5774,6575
0,0,0,0.5,0.339525,180,0,0,0.5774,6592
-5,27,0,0.5,0.34317,180,0,0,0.5774,6609
